time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
84.89932330,0.01651551,0.02023949,0.00000520,259080.00000000,0.03487857,0.000000,0.000000
84.99998090,0.01653274,0.01014206,0.00000397,247869.00000000,0.02264943,0.000000,0.000000
85.09982036,0.01655514,0.01130578,0.00000431,248104.00000000,0.02452935,0.000000,0.000000
85.19966258,0.01656117,0.00785981,0.00000376,248668.00000000,0.01871507,0.000000,0.000000
85.29951234,0.01658992,0.01288376,0.00000483,249480.00000000,0.02688079,0.000000,0.000000
85.39934924,0.01661096,0.01307864,0.00000391,250282.00000000,0.02416781,0.000000,0.000000
85.49999230,0.01661777,0.00783825,0.00000425,251086.00000000,0.01906674,0.000000,0.000000
85.59982830,0.01662291,0.00770945,0.00000354,252008.00000000,0.01847896,0.000000,0.000000
85.69966534,0.01662497,0.00788073,0.00000359,252837.00000000,0.01737075,0.000000,0.000000
85.79950062,0.01662907,0.00744030,0.00000438,253461.00000000,0.01811648,0.000000,0.000000
85.89933716,0.01663887,0.01045514,0.00000350,254065.00000000,0.02020761,0.000000,0.000000
85.99998080,0.01663413,0.00761740,0.00000304,254512.00000000,0.01490341,0.000000,0.000000
86.09982196,0.01662825,0.00606982,0.00000346,255115.00000000,0.01447611,0.000000,0.000000
86.19967638,0.01662495,0.00693160,0.00000350,255517.00000000,0.01541244,0.000000,0.000000
86.29951568,0.01665518,0.01976313,0.00000333,256003.00000000,0.02777977,0.000000,0.000000
86.39933506,0.01665390,0.00591642,0.00000361,256823.00000000,0.01618201,0.000000,0.000000
86.49996598,0.01666073,0.00754369,0.00000399,257706.00000000,0.01919087,0.000000,0.000000
86.59982118,0.01666979,0.00908352,0.00000360,258746.00000000,0.02002995,0.000000,0.000000
86.69965484,0.01667557,0.00801509,0.00000373,250245.00000000,0.01882475,0.000000,0.000000
86.79948090,0.01667886,0.00753689,0.00000372,251170.00000000,0.01790620,0.000000,0.000000
86.89933018,0.01668449,0.00770935,0.00000415,252130.00000000,0.01879047,0.000000,0.000000
86.99996814,0.01669273,0.00797689,0.00000402,253005.00000000,0.01978391,0.000000,0.000000
87.09980730,0.01669962,0.00767328,0.00000416,253877.00000000,0.01928945,0.000000,0.000000
87.19964248,0.01670803,0.00885684,0.00000409,254717.00000000,0.01988001,0.000000,0.000000
87.29948846,0.01671985,0.00904837,0.00000431,255606.00000000,0.02118609,0.000000,0.000000
87.39932846,0.01673148,0.00899447,0.00000395,256388.00000000,0.02113758,0.000000,0.000000
87.49996384,0.01673762,0.00880551,0.00000424,257205.00000000,0.01907078,0.000000,0.000000
87.59979958,0.01674271,0.00936489,0.00000358,257768.00000000,0.01868217,0.000000,0.000000
87.69963846,0.01675597,0.00974675,0.00000404,258876.00000000,0.02182329,0.000000,0.000000
87.79947150,0.01676190,0.00895616,0.00000360,260001.00000000,0.01903120,0.000000,0.000000
87.89930114,0.01677336,0.00894981,0.00000414,260994.00000000,0.02117355,0.000000,0.000000
87.99994554,0.01678586,0.01018686,0.00000383,262056.00000000,0.02159916,0.000000,0.000000
88.09978400,0.01680065,0.01005901,0.00000404,262986.00000000,0.02251081,0.000000,0.000000
88.19962500,0.01681185,0.00931516,0.00000409,264095.00000000,0.02114711,0.000000,0.000000
88.29947418,0.01683700,0.01333260,0.00000456,265171.00000000,0.02659470,0.000000,0.000000
88.39931884,0.01687028,0.01236904,0.00000476,266141.00000000,0.02981487,0.000000,0.000000
